SYMBOL, ID, TRADE_DATE, SIZE, TRADE_PRICE,TOTAL_COST, CURRENT_PRICE, CURRENT_VALUE, GAIN_LOSS
MATIC,polygon,2021-04-18 00:34:07.850 ,331.6,0.6429890832328105,213.21517999999998,0.82,271.912,485.12717999999995
CGLD,celo,2021-04-13 00:53:17 ,1.22706915,0.0,-4.38,0.95382,1.170403096653,-3.209596903347
CRV,curve-dao-token,2021-04-20 00:07:39.600 ,100.0,-2.01,-201.0,0.556156,55.6156,-145.3844
NU,nucypher,2021-05-17 22:23:01.068 ,1909.9729837200002,-0.26295241354929977,-502.2320058831315,0.089426,170.80124404214476,-331.43076184098675
GRT,the-graph,2021-05-19 17:36:20.544 ,401.47391176,-0.6530023304645522,-262.1634,0.326891,131.23820848913817,-130.92519151086185
UMA,uma,2021-04-20 02:50:24.260 ,39.416,-15.12172852242744,-596.0380514399999,3.21,126.52535999999999,-469.5126914399999
FIL,filecoin,2021-04-13 00:27:13.289 ,13.969000000000001,-79.66324701123918,-1112.8158975000001,7.19,100.43711000000002,-1012.3787875
ANKR,ankr,2021-04-17 18:26:35.826 ,1000.0,0.0,-134.13735,0.82,820.0,685.86265
ALGO,algorand,2021-04-19 23:27:18.475 ,295.0,0.0,-275.72175,0.216925,63.992875000000005,-211.728875
1INCH,1inch,2021-05-19 17:40:17.464 ,140.0,0.0,-379.3272,0.460716,64.50024,-314.82696
BTC,bitcoin,2021-04-18 07:29:41.191 ,0.0255141,-34047.549835796206,-868.692591265488,53543.0,1366.1014563,497.40886503451213
NMR,numeraire,2021-05-22 21:42:52.079 ,9.0,13.684166666666666,123.1575,29.69,267.21000000000004,390.36750000000006
SKL,skale,2021-04-20 00:07:21.674 ,1341.6,-0.32126184626565296,-431.00489295,0.072055,96.66898799999998,-334.33590495
ETC,ethereum-classic,2021-04-18 07:28:28.896 ,42.05302502,-32.322444976152184,-1359.256587289701,24.93,1048.3819137486,-310.87467354110095
ICP,internet-computer,2021-05-22 21:45:16.004 ,13.954100000000002,-73.18782317637826,-1021.2702033854999,9.92,138.42467200000002,-882.8455313855
XLM,stellar,2021-04-13 00:12:01 ,1131.6497178999998,-0.44823940834033243,-507.25,0.104012,117.70515045821477,-389.5448495417852
ETH,ethereum,2021-04-13 10:35:03.285 ,0.8428944,-1586.2975418457577,-1337.0813147555548,2853.07,2404.836725808,1067.7554110524454
LINK,chainlink,2021-04-19 23:18:30.289 ,27.949999999999996,-23.19694259769231,-648.3545456055,14.57,407.2314999999999,-241.12304560550007
LTC,litecoin,2021-04-13 10:12:37.348 ,4.84274254,-196.81081985848314,-953.104129660953,67.63,327.51467798019996,-625.5894516807531
ADA,cardano,2021-04-13 00:29:34.812 ,743.25,-1.0330300077699293,-767.799553275,0.532369,395.68325925,-372.116294025
TotalCost, TotalCurrentValue, TotalGainLoss
-11025.256793010829,8375.951384172951,-2649.305408837877
