SYMBOL, ID, TRADE_DATE, SIZE, TRADE_PRICE,TOTAL_COST, CURRENT_PRICE, CURRENT_VALUE, GAIN_LOSS
MATIC,polygon,2021-04-18 00:34:07.850 ,331.6,0.6429890832328105,213.21517999999998,0.82,271.912,485.12717999999995
CGLD,celo,2021-04-13 00:53:17 ,1.22706915,0.0,-4.38,0.969114,1.1891698922331,-3.1908301077669
CRV,curve-dao-token,2021-04-20 00:07:39.600 ,100.0,-2.01,-201.0,0.55593,55.593,-145.40699999999998
NU,nucypher,2021-05-17 22:23:01.068 ,1909.9729837200002,-0.26295241354929977,-502.2320058831315,0.08844,168.91801068019683,-333.3139952029346
GRT,the-graph,2021-05-19 17:36:20.544 ,401.47391176,-0.6530023304645522,-262.1634,0.335182,134.5668286915403,-127.59657130845972
UMA,uma,2021-04-20 02:50:24.260 ,39.416,-15.12172852242744,-596.0380514399999,3.22,126.91951999999999,-469.1185314399999
FIL,filecoin,2021-04-13 00:27:13.289 ,13.969000000000001,-79.66324701123918,-1112.8158975000001,7.23,100.99587000000001,-1011.8200275000002
ANKR,ankr,2021-04-17 18:26:35.826 ,1000.0,0.0,-134.13735,0.82,820.0,685.86265
ALGO,algorand,2021-04-19 23:27:18.475 ,295.0,0.0,-275.72175,0.216822,63.962489999999995,-211.75925999999998
1INCH,1inch,2021-05-19 17:40:17.464 ,140.0,0.0,-379.3272,0.461522,64.61308,-314.71412
BTC,bitcoin,2021-04-18 07:29:41.191 ,0.0255141,-34047.549835796206,-868.692591265488,53567.0,1366.7137947,498.02120343451213
NMR,numeraire,2021-05-22 21:42:52.079 ,9.0,13.684166666666666,123.1575,30.18,271.62,394.77750000000003
SKL,skale,2021-04-20 00:07:21.674 ,1341.6,-0.32126184626565296,-431.00489295,0.071304,95.6614464,-335.34344655
ETC,ethereum-classic,2021-04-18 07:28:28.896 ,42.05302502,-32.322444976152184,-1359.256587289701,24.94,1048.8024439988,-310.4541432909009
ICP,internet-computer,2021-05-22 21:45:16.004 ,13.954100000000002,-73.18782317637826,-1021.2702033854999,9.94,138.703754,-882.5664493854999
XLM,stellar,2021-04-13 00:12:01 ,1131.6497178999998,-0.44823940834033243,-507.25,0.103726,117.38149863889538,-389.8685013611046
ETH,ethereum,2021-04-13 10:35:03.285 ,0.8428944,-1586.2975418457577,-1337.0813147555548,2855.84,2407.1715432960004,1070.0902285404457
LINK,chainlink,2021-04-19 23:18:30.289 ,27.949999999999996,-23.19694259769231,-648.3545456055,14.62,408.6289999999999,-239.7255456055001
LTC,litecoin,2021-04-13 10:12:37.348 ,4.84274254,-196.81081985848314,-953.104129660953,67.55,327.12725857699996,-625.976871083953
ADA,cardano,2021-04-13 00:29:34.812 ,743.25,-1.0330300077699293,-767.799553275,0.531948,395.37035099999997,-372.429202275
TotalCost, TotalCurrentValue, TotalGainLoss
-11025.256793010829,8385.851059874667,-2639.4057331361623
